VEHICLE TYPE
TAXI
SUBN
FLAT
TRL
TL
HB
TRT
TWOD
MP
TAXI
TRL
REFG
AMBULANCE
TWOD
TRL
TR/C
MOTO
2DSD
TWOD
2 DR
LIM
SV
TL
PK
4W
VAN
FLAT
2S
BIKE
DELV
PASSENGER VEHICLE
H/WH
LIM
TRAC
4D
TL
DUMP
SDN
PICK-UP TRUCK
TOW
PICK-UP TRUCK
2D
CP
4D
PASSENGER VEHICLE
TRC
2 DR
DS
BS
4S
4DSD
FOUR
4 DR
PASSENGER VEHICLE
TRUC
PK
CONVERTIBLE
STAK
TRLR
LIM
SMALL COM VEH(4 TIRES)
P/SH
LIM
BS
SPORT UTILITY / STATION WAGON
4DSE
LIVERY VEHICLE
FIRE TRUCK
AMBULANCE
LIM
MOT
SDN
DELV
STAK
LL
4DSE
UT
FLAT
CONV
UT
FLAT
4H
SU
TRC
CONVERTIBLE
TRL
REFG
2S
DELV
SW
SW
SWT
2D
HB
5D
4 DO
TT
TR/C
SD
5D
DELV
PASSENGER VEHICLE
2DSD
TRAI
OTHER
5D
2 DR
P/SH
P-U
TR
LL
CONVERTIBLE
FLAT
TRLR
WAGO
TANK
MP
OTHER
BU
P-U
SEDA
TRT
CV
TR/C
4DSE
TRACTOR TRUCK DIESEL
TT
SPORT UTILITY / STATION WAGON
DUMP
4D
TANK
PASSENGER VEHICLE
4 DO
CP
TRL
S/SP
SPORT UTILITY / STATION WAGON
LARGE COM VEH(6 OR MORE TIRES)
PK
SEDAN
SU
MOT
TRL
TRT
4DSE
TRACTOR TRUCK DIESEL
5D
FOUR
TRAI
LARGE COM VEH(6 OR MORE TIRES)
I
CP
SPORT UTILITY / STATION WAGON
SPORT UTILITY / STATION WAGON
SW
I
4S
BU
REFG
FOUR
MC
BS
UTIL
TAXI
SUV
LARGE COM VEH(6 OR MORE TIRES)
UTIL
SPORT UTILITY / STATION WAGON
SEDN
TRC
TRC
2 DR
4 DR
2DSD
SWT
MP
PICK
TK
FLAT BED
4H
CONVERTIBLE
TLR
4S
TRK
4DSD
SPORT UTILITY / STATION WAGON
S/SP
5D
BOX TRUCK
SPORT UTILITY / STATION WAGON
UT
P-U
BU
UTIL
TR/C
OTHER
SPORT UTILITY / STATION WAGON
PV
BIKE
4 DO
LIM
LIVERY VEHICLE
PICK
DELV
BOAT
CONV
BOAT
CONVERTIBLE
SV
HB
SV
TR
TR/C
BU
H/WH
TRK
SDN
TRC
DUMP
PICK
4DSD
4S
TAXI
MOT
4 DR SEDAN
TL
SUBN
4D
I
SUV
4 DR
CV
MP
BICYCLE
SD
MCY
TRC
TLR
PV
SUV
MC
TT
STAK
LARGE COM VEH(6 OR MORE TIRES)
SD
TRUC
FIRE TRUCK
FLAT BED
PICK-UP TRUCK
4H
TAXI
LARGE COM VEH(6 OR MORE TIRES)
TWOD
SW
